Case,Case Name,Notification Date,Decision Date,Decision,Phase,Sector,Language,Link
M.2448,DEXIA / BANCO SABADELL / DEXIA BANCO LOCAL,2001-05-11,2001-06-19,Art. 6(1)(b),Phase I,K.64,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2448_fr.pdf
M.2449,GOLDMAN SACHS / SJPC / SCP DE MILO / NASCENT,2001-05-11,2001-06-19,Art. 6(1)(b),Phase I,K.65,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2449_en.pdf
M.2430,SCHRODER VENTURES / GRAMMER,2001-05-10,2001-06-13,Art. 6(1)(b),Phase I,C.29,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2430_en.pdf
M.2413,BHP / BILLITON (see ECSC.1356),2001-05-10,2001-06-14,Art. 6(1)(b),Phase I,B.07,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2413_en.pdf
M.2463,SPEEDY TOMATO,2001-05-10,2001-06-14,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2463_en.pdf
M.2400,DEXIA / ARTESIA,2001-05-10,2001-06-14,Art. 6(1)(b),Phase I,K.64|K.65,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2400_en.pdf
M.2300,YLE / TDF / DIGITA / JV,2001-05-08,2001-06-26,Art. 6(1)(b) with conditions & obligations,Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2300_en.pdf
M.2393,SKANSKA SVERIGE / POSTEN / HOOC,2001-05-07,2001-06-13,Art. 6(1)(b),Phase I,G.47,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2393_en.pdf
M.2303,CIAOWEB / WE CUBE,2001-05-07,2001-06-14,Art. 6(1)(b),Phase I,J.61,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2303_it.pdf
M.2403,SCHNEIDER / THOMSON MULTIMEDIA / JV,2001-05-04,2001-06-13,Art. 6(1)(b),Phase I,C.27,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2403_en.pdf
M.2441,AMCOR / DANISCO / AHLSTROM,2001-05-04,2001-11-06,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2441_en.pdf
M.2187,CVC / LENZING,2001-05-04,2001-10-17,Art. 8(3),Phase II,C.20,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2187_en.pdf
M.2421,CONTINENTAL / TEMIC,2001-05-03,2001-11-06,Art. 6(1)(b),Phase I,C.29,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2421_de.pdf
M.2437,NEC / TOSHIBA,2001-05-02,2001-05-06,Art. 6(1)(b),Phase I,C.30,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2437_en.pdf
M.2466,SODEXHO / ABELA (II),2001-05-02,2001-08-06,Art. 6(1)(b),Phase I,I.56,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2466_en.pdf
M.2190,LSG / OFSI,2001-04-27,2001-01-06,Art. 6(1)(b),Phase I,I.56,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2190_en.pdf
M.2458,BERTELSMANN / VVC / JV,2001-04-27,2001-06-06,Art. 6(1)(b),Phase I,M.73,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2458_de.pdf
M.2397,BC FUNDS / SANITEC,2001-04-27,2001-06-06,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2397_en.pdf
M.2408,REWE COM / HENKEL / TEN UK / TEN DE,2001-04-26,2001-05-31,Art. 6(1)(b),Phase I,S.96,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2408_en.pdf
M.2359,INTERNATIONAL FUEL CELLS (UTC) / SOPC (SHELL) / JV,2001-04-26,2001-05-29,Art. 6(1)(b),Phase I,D.35,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2359_en.pdf
M.2451,HILTON / SCANDIC,2001-04-25,2001-05-31,Art. 6(1)(b),Phase I,I.55,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2451_en.pdf
M.2442,NOBIA / MAGNET,2001-04-24,2001-05-29,Art. 6(1)(b),Phase I,C.31,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2442_en.pdf
M.2424,TYCO / CIT,2001-04-20,2001-05-29,Art. 6(1)(b),Phase I,K.64|C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2424_en.pdf
M.2401,INDUSTRI KAPITAL / TELIA ENTERPRISE,2001-04-20,2001-05-29,Art. 6(1)(b),Phase I,J.61,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2401_en.pdf
M.2386,MEI / PHILIPS,2001-04-20,2001-05-29,Art. 6(1)(b),Phase I,C.27,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2386_en.pdf
M.2445,NIB CAPITAL / INTERNATIO-MULLER CHEMICAL DISTRIBUTION,2001-04-19,2001-05-21,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2445_en.pdf
M.2409,RAIL GOURMET HOLDING / NARVESEN,2001-04-11,2001-05-17,Art. 6(1)(b),Phase I,I.56,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2409_en.pdf
M.2370,THALES / AIRSYS-ATM,2001-04-11,2001-05-21,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2370_en.pdf
M.2418,ORF / NETWAY / ADWORX,2001-04-11,2001-05-21,Art. 6(1)(b),Phase I,M.73,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2418_de.pdf
M.2433,BARCLAYS BANK / MINIMAX,2001-04-11,2001-05-21,Art. 6(1)(b),Phase I,C.28,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2433_de.pdf
M.2434,GRUPO VILLAR MIR / ENBW / HIDROELECTRICA DEL CANTABRICO,2001-04-10,2001-09-26,Art. 8(2) with conditions & obligations,Phase II,D.35,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2434_20010926_600_en.pdf
M.2329,SOCIETE GENERALE / DEUFIN,2001-04-09,2001-05-17,Art. 6(1)(b),Phase I,K.64,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2329_en.pdf
M.2406,CEPSA GAS COMERCIALIZADORA / TOTAL FINA ELF GAS & POWER ESPANA,2001-04-09,2001-05-17,Art. 6(1)(b),Phase I,,0,https://ec.europa.eu/competition/mergers/cases/decisions/m2406_es.pdf
M.2426,INEOS / PHENOLCHEMIE,2001-04-09,2001-05-17,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2426_en.pdf
M.2342,TECHINT / VAI / JV,2001-04-06,2001-05-17,Art. 6(1)(b),Phase I,C.33,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2342_en.pdf
M.2405,DOW CHEMICAL / ASCOT,2001-04-06,2001-11-05,Art. 6(1)(b),Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2405_en.pdf
M.2396,INDUSTRI KAPITAL / PERSTORP (II),2001-04-05,2001-11-05,Art. 6(1)(b) with conditions & obligations,Phase I,C.20,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2396_en.pdf
M.2315,THE AIRLINE GROUP / NATS,2001-04-05,2001-05-14,Art. 6(1)(b),Phase I,H.51,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2315_en.pdf
M.2419,APAX / SCHERING / METAGEN,2001-04-04,2001-05-14,Art. 6(1)(b),Phase I,C.21,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2419_en.pdf
M.2435,EDS / SYSTEMATICS,2001-04-04,2001-11-05,Art. 6(1)(b),Phase I,J.62,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2435_en.pdf
M.2407,BERTELSMANN / RTL GROUP,2001-04-03,2001-11-05,Art. 6(1)(b),Phase I,,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2407_en.pdf
M.2391,CVC / CINVEN / ASSIDOMÄN,2001-04-02,2001-10-05,Art. 6(1)(b),Phase I,C.17,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2391_en.pdf
M.2395,MORGAN GRENFELL / WHITBREAD,2001-03-30,2001-08-05,Art. 6(1)(b),Phase I,I.56,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2395_en.pdf
M.2373,COMPASS / SELECTA,2001-03-30,2001-08-05,Art. 6(1)(b),Phase I,I.56,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2373_en.pdf
M.2218,THOMAS COOK HOLDINGS / BRITISH AIRWAYS / JV,2001-03-29,2001-04-30,Art. 6(1)(b),Phase I,N.79,1,https://ec.europa.eu/competition/mergers/cases/decisions/m2218_en.pdf
